sample-id	RUN	Batch	Mouse	Diet	Sorting	Region

#q2:types	categorical	categorical	categorical	categorical	categorical	categorical

1-0C1-fA	SRR9730755	1	1_1	C	A	f

1-0C1-fAp	SRR9730756	1	1_1	C	Ap	f

1-0C1-fpr	SRR9730757	1	1_1	C	pr	f

1-0C2-fA	SRR9730758	1	1_2	C	A	f

1-0C2-fAp	SRR9730751	1	1_2	C	Ap	f

1-0C2-fpr	SRR9730752	1	1_2	C	pr	f

1-0C3-fA	SRR9730753	1	1_3	C	A	f

1-0C3-fAp	SRR9730754	1	1_3	C	Ap	f

1-0C3-fpr	SRR9730749	1	1_3	C	pr	f

1-0C4-fA	SRR9730750	1	1_4	C	A	f

1-0C4-fAp	SRR9730713	1	1_4	C	Ap	f

1-0C4-fpr	SRR9730714	1	1_4	M	pr	f

1-0M1-fA	SRR9730715	1	1_5	M	A	f

1-0M1-fAp	SRR9730716	1	1_5	M	Ap	f

1-0M1-fpr	SRR9730717	1	1_5	M	pr	f

1-0M2-fA	SRR9730718	1	1_6	M	A	f

1-0M2-fAp	SRR9730747	1	1_6	M	Ap	f

1-0M2-fpr	SRR9730748	1	1_6	M	pr	f

1-0M3-fA	SRR9730711	1	1_7	M	A	f

1-0M3-fAp	SRR9730712	1	1_7	M	Ap	f

1-0M3-fpr	SRR9730599	1	1_7	M	pr	f

1-0M4-fA	SRR9730598	1	1_8	M	A	f

1-0M4-fAp	SRR9730601	1	1_8	M	Ap	f

1-0M4-fpr	SRR9730600	1	1_8	M	pr	f

1-2C1-fA	SRR9730595	1	1_9	C	A	f

1-2C1-fAp	SRR9730594	1	1_9	C	Ap	f

1-2C1-fpr	SRR9730597	1	1_9	C	pr	f

1-2C2-fA	SRR9730596	1	1_10	C	A	f

1-2C2-fAp	SRR9730603	1	1_10	C	Ap	f

1-2C2-fpr	SRR9730602	1	1_10	C	pr	f

1-2C3-fA	SRR9730623	1	1_11	C	A	f

1-2C3-fAp	SRR9730624	1	1_11	C	Ap	f

1-2C3-fpr	SRR9730621	1	1_11	C	pr	f

1-2C4-fA	SRR9730622	1	1_12	C	A	f

1-2C4-fAp	SRR9730619	1	1_12	C	Ap	f

1-2C4-fpr	SRR9730620	1	1_12	C	pr	f

1-2M1-fA	SRR9730617	1	1_13	M	A	f

1-2M1-fAp	SRR9730618	1	1_13	M	Ap	f

1-2M1-fpr	SRR9730627	1	1_13	M	pr	f

1-2M2-fA	SRR9730628	1	1_14	M	A	f

1-2M2-fAp	SRR9730688	1	1_14	M	Ap	f

1-2M2-fpr	SRR9730687	1	1_14	M	pr	f

1-2M3-fA	SRR9730686	1	1_15	M	A	f

1-2M3-fAp	SRR9730685	1	1_15	M	Ap	f

1-2M3-fpr	SRR9730720	1	1_15	M	pr	f

1-4C1-fA	SRR9730719	1	1_16	C	A	f

1-4C1-fAp	SRR9730690	1	1_16	C	Ap	f

1-4C1-fpr	SRR9730689	1	1_16	C	pr	f

1-4C1-jA	SRR9730722	1	1_16	C	A	f

1-4C1-jAp	SRR9730721	1	1_16	C	Ap	j

1-4C1-jpr	SRR9730640	1	1_16	C	pr	j

1-4C2-fA	SRR9730641	1	1_17	C	A	f

